year,social,migration,gsouth,survey,quant,mortality,fertility,dtrans,fam,devel,biodemog,theory,articles
1975,0.0692004137659,0.0789283351231,0.0175050416524,0.0837503980851,0.370934997069,0.0126907311398,0.179222808389,0.0613057163272,0.0287555512254,0.0450012989624,0.00272289469781,0.049981813563,1570
1976,0.0735513922038,0.065515745568,0.0126652630934,0.0946502001451,0.374160122608,0.0255542246692,0.17394414837,0.0533953979727,0.0335506944685,0.0456306664199,0.00170714891135,0.0456749955699,1590
1977,0.0866880769079,0.0764924278319,0.0111927367309,0.0970689121973,0.387401059662,0.0258051446089,0.163571748254,0.0408018713987,0.0345429973876,0.0407695915952,0.00103026545014,0.0346351679754,1510
1978,0.102849402553,0.0694473741353,0.00903742662227,0.0935310297991,0.375561222265,0.0341554075868,0.172370348815,0.0299780323615,0.039015542647,0.0386175282027,0.00366360058352,0.0317730844289,1420
1979,0.11926375569,0.0809328212139,0.00550068393593,0.0791878573029,0.377356299256,0.0488026381356,0.159540254852,0.0299186660383,0.0403523678829,0.0324000034757,0.00418699703158,0.0225576551846,1180
1980,0.118001954555,0.0612877160162,0.00594818727887,0.0712849220252,0.357892625376,0.0569638054798,0.176324260004,0.0446318469638,0.0559617090403,0.0265907016057,0.00443890080375,0.0206733708516,1150
1981,0.110922847349,0.0609986299281,0.0137684434657,0.0589907774022,0.350440534512,0.0701356605059,0.181815057989,0.0441186842427,0.0588467179634,0.0275666938097,0.00239428976688,0.020001663066,1110
1982,0.0968387979019,0.0519088670679,0.0214540554622,0.0623772987365,0.38298706791,0.050627616415,0.180387599626,0.0461431325956,0.0629641299343,0.0231791756002,0.00169691657741,0.0194353421735,1220
1983,0.0932025216455,0.0441141186721,0.0208619398971,0.0631809310894,0.407767345706,0.0562154228731,0.178762860652,0.0372542301901,0.0538885195787,0.024174309037,0.00175842631462,0.018819374344,1290
1984,0.105400531975,0.0528003819463,0.0205916402193,0.0606620491995,0.392518965034,0.0375144781526,0.179463225188,0.03773962766,0.0706175789183,0.0215283156092,0.00169402987042,0.0194691762282,1350
1985,0.0999835364503,0.0592188969214,0.0211098823584,0.0596183385543,0.370775728635,0.039771110375,0.18178356288,0.039888673708,0.0693457565636,0.0281685377775,0.00273350416936,0.027602471607,1440
1986,0.0959794248176,0.0658043816393,0.0315084380023,0.0643811790464,0.345376131622,0.0366222492154,0.185827703476,0.0403842890663,0.0767181362132,0.0290271530489,0.00305911084273,0.0253118030095,1400
1987,0.10316109942,0.0595760874821,0.0254735884972,0.0713297225395,0.336268558835,0.061705764018,0.141785332356,0.0446497480107,0.0868025500109,0.0418140647481,0.00421225101781,0.0232212330658,1460
1988,0.129437545782,0.0465739367408,0.0242350519268,0.0589008972954,0.334272032914,0.063659434511,0.132101533706,0.045581804496,0.0996954137086,0.0439256299362,0.00509019748866,0.0165265214944,1510
1989,0.136674728698,0.0389986592256,0.0222699629932,0.0478977086484,0.334614812555,0.0725816991209,0.116180879827,0.0515256621461,0.108423714632,0.0436036416613,0.0113445845401,0.0158839459512,1510
1990,0.142041606706,0.030466702698,0.030007579056,0.0431165067067,0.352283695413,0.0564316853731,0.13546923175,0.0510380440259,0.103011671156,0.0286293302218,0.0103545859706,0.0171493609219,1400
1991,0.153126516343,0.0430658134632,0.0251657671242,0.0438208130523,0.323174094631,0.0570618885422,0.145066205065,0.0541406286348,0.108800454775,0.0191074888217,0.00901647505079,0.018453854496,1240
1992,0.158336037744,0.0367941295843,0.0290646533288,0.0435702657071,0.292392314233,0.0478753769837,0.140843016176,0.0563788901014,0.12954436499,0.0261421820668,0.00799555714652,0.0310632119388,1210
1993,0.141121230916,0.0446899250484,0.0310924437762,0.0434955343449,0.276342489954,0.0642556463396,0.148226838563,0.0607617204204,0.121315614421,0.0255181879978,0.011058805194,0.0321215630242,1190
