year,social,migration,gsouth,survey,quant,mortality,fertility,dtrans,fam,devel,biodemog,theory,articles
1975,0.0214123943747,0.0411662891455,0.0318902330402,0.0469453672229,0.284197005976,0.0463391430986,0.196334774941,0.143034656278,0.0440694490863,0.070235762922,0.000405896128069,0.0739690277869,1020
1976,0.0242987972706,0.0346569914177,0.0440454326247,0.0501227783938,0.294087667212,0.0329713402906,0.196217647709,0.149053090649,0.0456666149862,0.0552902201255,0.000376379557602,0.0732130397629,1050
1977,0.019562306929,0.0307600709069,0.0381030816138,0.0527153816172,0.260538877896,0.032733050266,0.241440637839,0.165345565087,0.0465733923783,0.0423216617746,0.00073344609108,0.0691725276018,1100
1978,0.0266442519078,0.0332989162852,0.0434751243606,0.0362888387045,0.296373577716,0.0349501792427,0.238262019153,0.141972123936,0.0509201446127,0.0357895199815,0.0011447538398,0.0608805502597,1120
1979,0.0236400004563,0.0315033868024,0.0489883607795,0.032458815199,0.318784578778,0.0501972761701,0.215991953515,0.134119618023,0.0464201702209,0.0402709164266,0.00134102108032,0.0562839025498,1180
1980,0.0240098407027,0.0352105010538,0.0478422192519,0.0370187069076,0.326593707911,0.0431919276925,0.22160052375,0.125183412335,0.0420064829466,0.0389538709243,0.00103603047949,0.057352776045,1080
1981,0.018657455806,0.0376452045269,0.0545805824412,0.0416474672912,0.300639159438,0.0428600797515,0.243584798309,0.136757257001,0.0429137303897,0.0286856026979,0.000489374257079,0.0515392880902,970
1982,0.0304834078439,0.0377335780666,0.0545888278964,0.0398684950767,0.300694326453,0.0332681364695,0.260673473153,0.120512708039,0.0495596015392,0.0241618741032,0.00169255016826,0.0467630211917,820
1983,0.033396542886,0.0304463146097,0.0649842435984,0.0312415925654,0.33321688048,0.0327430308347,0.233957979006,0.103688851371,0.0651906182248,0.0283454714152,0.00197078821499,0.0408176867946,840
1984,0.0301703900205,0.0230556878049,0.0529714576022,0.0298337701459,0.338106295664,0.056426916232,0.215721437516,0.107555939846,0.0670223041381,0.0314680423515,0.002192610919,0.0454751477602,870
1985,0.0178231865961,0.020206798505,0.0554289972907,0.0326003431133,0.328797535585,0.0657432937862,0.221115407926,0.110782810933,0.0661919438898,0.0354515883929,0.00171103571891,0.0441470582638,930
1986,0.0165731865178,0.0184018001494,0.0472875072969,0.0262976194789,0.293779888374,0.084324795179,0.221716202601,0.144790524405,0.0523863384296,0.0319159968398,0.00522073737813,0.0573054033507,860
1987,0.0239409267498,0.0178124436265,0.0447101761859,0.0285551562937,0.307116124915,0.0697487217883,0.224095163093,0.141942347696,0.0444633065442,0.0317959178976,0.00741679562275,0.0584029195874,810
1988,0.0304403139689,0.0248213141824,0.0341809719929,0.0268540725993,0.285571245579,0.0940306345324,0.220431383091,0.158430443639,0.042296129103,0.0173955189619,0.0100543352093,0.0554936371413,750
1989,0.0335017492062,0.0240735086435,0.0480243221222,0.029150439345,0.27855563315,0.0790010663381,0.232134888956,0.141352582015,0.0627077710001,0.0190205217659,0.0066750734245,0.045802444034,740
1990,0.0308261738322,0.028566565972,0.0697374383884,0.0220519678348,0.233648271863,0.0936580874909,0.175977957358,0.155062275798,0.0919001438293,0.0266932633193,0.00493964205411,0.0669382122604,870
1991,0.0333174008936,0.0279802250238,0.0795512816057,0.0208168001418,0.248593397223,0.0682517819561,0.17488336936,0.144900457713,0.102340319209,0.0297543108967,0.00348699051728,0.06612366546,920
1992,0.0346991907301,0.02742835777,0.0805797665781,0.0152815216476,0.248708591583,0.0781352438505,0.134715859563,0.166127188769,0.0933380075974,0.0331404558104,0.00861260071096,0.0792332153907,980
1993,0.0360423279887,0.0197083325481,0.089579063232,0.0125442908503,0.28103712645,0.0629021961914,0.156768766843,0.166056190965,0.0841178207125,0.0232998026724,0.00874062950491,0.059203452042,860
1994,0.0331949473108,0.0174266169528,0.0930266667637,0.0149557958059,0.246812422003,0.0844016993637,0.150478120869,0.174117806807,0.0935936056979,0.0231669068035,0.00765833001498,0.0611670816068,850
1995,0.0273768275738,0.0149786815045,0.102215307936,0.0245344691625,0.236151002551,0.0747317676322,0.166126254406,0.176542062018,0.0774426915798,0.0302211300906,0.00436054524557,0.0653192603006,820
1996,0.0297474024593,0.0211122013548,0.110105627233,0.0246713268327,0.209954295567,0.0680267565582,0.182610757705,0.158534915132,0.0799056598236,0.0412964114326,0.00522064309841,0.0688140028032,790
1997,0.0323607757075,0.0243504349468,0.113487713002,0.0209851913791,0.216335585802,0.0435392010972,0.192995129597,0.152883516053,0.0845047747066,0.0422043276553,0.00512856893635,0.0712247811168,730
1998,0.0438154457803,0.0275318372972,0.119705876971,0.0110160316706,0.243445594646,0.0614969562499,0.169892158103,0.10910956204,0.137249566229,0.0291986244028,0.00185040384415,0.0456879427653,710
1999,0.0441900573146,0.0299424662804,0.106849466016,0.0124987461973,0.23406410371,0.0855770254666,0.137426289676,0.114764964051,0.147142807581,0.0284241260516,0.00738870396864,0.0517312436864,710
2000,0.0511865566652,0.0338928806315,0.100013319467,0.0137618351043,0.238238960806,0.0920640555019,0.126116840778,0.117727971716,0.139792226211,0.0326765138546,0.00857052528519,0.0459583139792,710
2001,0.0521446759602,0.0506097204499,0.0989950757319,0.0162719492998,0.258512147413,0.0930403406143,0.118270379425,0.118986280787,0.10458511271,0.0370122901282,0.0112975512417,0.0402744762394,680
2002,0.0502901333235,0.0437557890966,0.115381498943,0.00870267592741,0.274982666048,0.0956733221713,0.129224295968,0.137911535334,0.0737345891356,0.026293358931,0.00951775903301,0.0345323760891,640
2003,0.0507966169746,0.0407291130156,0.13010517827,0.0121981471697,0.278766325027,0.113781559439,0.11168090939,0.139251607634,0.0455776273391,0.0256332109778,0.0126001949569,0.0388795098049,660
2004,0.055734191509,0.0341733223767,0.116215046553,0.0117636247293,0.248963724226,0.121127757019,0.137785424949,0.147971785914,0.064548961933,0.0141926635615,0.00911073463821,0.0384127625904,690
2005,0.0544715879315,0.0385865090654,0.103540408833,0.0182770945026,0.238999342317,0.11789707005,0.147652389572,0.136807372016,0.0743424471287,0.0169720842479,0.016094144253,0.0363595500826,680
2006,0.048697996706,0.0400084265673,0.0905023747551,0.0218671600716,0.230805299825,0.129693451749,0.152557368277,0.128167970542,0.100612224061,0.016467087465,0.0153134253082,0.0253072146728,640
2007,0.0445091493696,0.0303931031793,0.106336585642,0.0343117039318,0.250741163262,0.108254157927,0.161552582733,0.111992582363,0.0931230753835,0.0193531925394,0.0168908026074,0.0225419010619,600
2008,0.0626792909753,0.0238197481946,0.110703893921,0.0322143386363,0.256116936381,0.14291502292,0.134884455363,0.0838045472024,0.112371849326,0.0238247580435,0.00464534043469,0.012019818602,570
2009,0.075733488722,0.0226937540923,0.122802682187,0.02865786227,0.236653638502,0.133797613279,0.14178421649,0.0866270015327,0.105484071595,0.0211662664336,0.00374364411985,0.020855760777,570
