source,target,scount,tcount,weight
Norman P. Hummon,,2,,0
George Andrew Kourvetaris,,1,,0
Beverly Duncan,Otis Dudley Duncan,2,2,1
Frank Harary,,1,,0
Louis Schneider,,1,,0
Nicholas C. Mullins,,1,,0
Lois B. DeFleur,Melvin L. DeFleur,1,3,1
K. Dennis Kelly,William J. Chambliss,1,2,1
Terry Nichols Clark,William R. Morgan,1,1,1
Paul Lerman,,2,,0
Arnold Meadow,Louis A. Zurcher Jr.,1,1,1
Louis A. Zurcher Jr.,Susan Lee Zurcher,1,1,1
Arnold Meadow,Susan Lee Zurcher,1,1,1
Phillips Cutright,,2,,0
Herbert L. Costner,Robert K. Leik,2,3,1
Edward O. Laumann,James M. Beshers,4,1,1
Moshe Schwartz,William L. Parish Jr.,1,1,1
John Scanzoni,,1,,0
Joan Huber,,2,,0
Albert I. Hermalin,Reynolds Farley,2,3,2
Kenneth H. Thompson,,1,,0
Karen Oppenheim Mason,William M. Mason,1,1,1
H. H. Winsborough,Karen Oppenheim Mason,1,1,1
Karen Oppenheim Mason,W. Kenneth Poole,1,1,1
H. H. Winsborough,William M. Mason,1,1,1
W. Kenneth Poole,William M. Mason,1,1,1
H. H. Winsborough,W. Kenneth Poole,1,1,1
Carolyn Cummings Perrucci,,2,,0
David P. Phillips,Kenneth A. Feldman,1,1,1
Russell Middleton,,2,,0
David L. Westby,Richard G. Braungart,1,1,1
H. M. Blalock Jr.,,2,,0
John C. McKinney,Linda Brookover Bourque,2,2,2
Frank F. Furstenberg Jr.,,1,,0
Stanley Lieberson,,4,,0
David A. Specht,,1,,0
David Willer,Murray Webster Jr.,2,2,1
Murray Webster Jr.,,2,,0
Richard G. Dumont,William J. Wilson,1,1,1
David D. McFarland,,1,,0
David Nasatir,,1,,0
Reinhard Bendix,,2,,0
Gerald T. Slatin,,1,,0
James C. McCann,,1,,0
Shirley Hartley,,1,,0
Herman Israel,,1,,0
Kurt W. Back,,2,,0
M. Patrick McCabe,Robert C. Atchley,1,1,1
Duncan MacRae Jr.,,1,,0
Philip M. Marcus,,1,,0
Harold L. Wilensky,Jack Ladinsky,2,2,1
David R. Segal,,1,,0
Clayton Haven,Marjorie Fiske Lowenthal,1,2,1
James A. Sweet,Larry L. Bumpass,1,1,1
Arnold M. Rose,,1,,0
Mirra Komarovsky,,1,,0
Lewis A. Coser,,2,,0
Amos H. Hawley,,2,,0
Marvin E. Olsen,,4,,0
Kathleen S. Crittenden,Richard J. Hill,1,1,1
Erdman B. Palmore,Phillip E. Hammond,1,1,1
Charles B. Nam,Mary G. Powers,2,1,1
Jonathan R. Cole,Stephen Cole,2,3,2
B. C. Cartwright,R. D. Schwartz,1,1,1
Marion Blute,,1,,0
Alvin L. Jacobson,Gary L. Buck,1,1,1
Michael Armer,William H. Sewell,2,7,1
Bruce K. Eckland,,2,,0
William E. Snizek,,2,,0
Herman Turk,,1,,0
Desmond P. Ellis,,1,,0
Thomas P. Wilson,,1,,0
Karl E. Taeuber,Omer R. Galle,2,2,1
Raymond D. Gastil,,1,,0
Melvin Seeman,,3,,0
George Brager,,1,,0
George W. Bohrnstedt,,1,,0
Albert K. Cohen,,1,,0
Michael Schwartz,Sandra S. Tangri,1,1,1
William A. Gamson,,1,,0
John Colombotos,,1,,0
Herbert Blumer,,1,,0
Albert J. Reiss Jr.,Leon Mayhew,2,1,1
Jonathan Kelley,,2,,0
David E. Wiley,James A. Wiley,1,1,1
Alan Ross,John C. Ball,1,1,1
Alice Simpson,John C. Ball,1,1,1
Alan Ross,Alice Simpson,1,1,1
Vytautas Kavolis,,1,,0
Carl A. Sheingold,,1,,0
Norval D. Glenn,Ruth Hyland,3,1,1
Edward Z. Dager,Raymond J. Adamek,1,1,1
Bernard E. Segal,Derek L. Phillips,2,4,1
David Armor,Howard E. Freeman,1,1,1
Howard E. Freeman,J. Michael Ross,1,1,1
Howard E. Freeman,Thomas F. Pettigrew,1,1,1
David Armor,J. Michael Ross,1,1,1
David Armor,Thomas F. Pettigrew,1,1,1
J. Michael Ross,Thomas F. Pettigrew,1,1,1
Dianne Timbers Fairbank,Reta D. Artz,1,1,1
Reta D. Artz,Richard F. Curtis,1,2,1
Elton F. Jackson,Reta D. Artz,5,1,1
Dianne Timbers Fairbank,Richard F. Curtis,1,2,1
Dianne Timbers Fairbank,Elton F. Jackson,1,5,1
Elton F. Jackson,Richard F. Curtis,5,2,2
John L. Hammond,,1,,0
Paul-Henri Chombart de Lauwe,,1,,0
Carrell W. Abbott,Charles R. Brown,1,1,1
Carrell W. Abbott,Paul V. Crosbie,1,1,1
Charles R. Brown,Paul V. Crosbie,1,1,1
Gertrude Jaeger,Philip Selznick,1,1,1
Charles Tilly,David Snyder,2,2,2
Harry Perlstadt,,1,,0
J. David Martin,Louis N. Gray,2,2,1
Raymond Boudon,,1,,0
Harvey H. Marshall Jr.,Robert M. Jiobu,2,2,2
Edward Harvey,,1,,0
Peter Singelmann,,2,,0
Norman J. Johnson,Richard H. Hall,1,2,1
J. Eugene Haas,Richard H. Hall,2,2,1
J. Eugene Haas,Norman J. Johnson,2,1,1
John C. Leggett,,1,,0
Archibald O. Haller,William H. Sewell,4,7,2
George W. Ohlendorf,William H. Sewell,1,7,1
Archibald O. Haller,George W. Ohlendorf,4,1,1
Natalie Rogoff Ramsøy,,2,,0
Jerold Heiss,,1,,0
Paul R. Eberts,Ronald A. Witton,1,1,1
Thomas Ewin Smith,,1,,0
Reynolds Farley,,3,,0
Edward Green,,1,,0
Curtis R. Miller,Edgar W. Butler,1,1,1
William H. Sewell,,7,,0
Irving Kenneth Zola,,1,,0
Lawrence S. Mayer,,3,,0
Robert N. Bellah,,1,,0
Roland J. Chilton,,3,,0
Ephraim Yuchtman,Stanley E. Seashore,2,1,1
Anselm L. Strauss,Barney G. Glaser,1,1,1
J. Allen Williams Jr.,Nicholas Babchuk,1,2,1
David R. Johnson,J. Allen Williams Jr.,1,1,1
David R. Johnson,Nicholas Babchuk,1,2,1
Patrick M. Horan,,1,,0
Arthur G. Neal,Salomon Rettig,3,2,1
Derek Pugh,,1,,0
Joseph Julian,,1,,0
Thomas S. Smith,,1,,0
Lewis Lipsitz,,1,,0
Bertram H. Raven,Richard Centers,1,1,1
Aroldo Rodrigues,Richard Centers,1,1,1
Aroldo Rodrigues,Bertram H. Raven,1,1,1
Denise B. Kandel,Gerald S. Lesser,1,1,1
Martin King Whyte,,1,,0
Stephen V. Stephens,,1,,0
Irving Krauss,,1,,0
Milton C. Albrecht,,1,,0
Mariam K. Slater,,1,,0
Samuel Leinhardt,,2,,0
Leslie Kish,,1,,0
Otis Dudley Duncan,,2,,0
David Mechanic,,1,,0
Judah Matras,,1,,0
H. Warren Dunham,Patricia Phillips,2,1,1
Barbara Srinivasan,H. Warren Dunham,1,2,1
Barbara Srinivasan,Patricia Phillips,1,1,1
John Lofland,Rodney Stark,1,3,1
Marshall W. Meyer,,3,,0
Marshall H. Becker,,2,,0
George C. Homans,,1,,0
Paul Davidson Reynolds,,1,,0
Charles Y. Glock,Rodney Stark,1,3,1
Seymour Martin Lipset,,1,,0
John W. Loy Jr.,,1,,0
James Noell,Wolf Heydebrand,1,1,1
Norman B. Ryder,,1,,0
James M. Fendrich,,1,,0
Norbert Wiley,,1,,0
Robert A. Feldmesser,,1,,0
Andrew Hopkins,,1,,0
James M. Williams,,2,,0
Alan Booth,Nicholas Babchuk,3,2,1
C. T. Husbands,Roy W. Money,1,1,1
Edward Gross,John G. Craig,2,1,1
Charles Terry,Joshua A. Fishman,1,1,1
Carolyn Cummings Perrucci,Robert Perrucci,2,2,1
John Walton,,1,,0
Bernard E. Segal,Robert J. Weiss,2,1,1
Bernard E. Segal,Robert Sokol,2,1,1
Robert J. Weiss,Robert Sokol,1,1,1
Rex A. Lucas,,1,,0
Robert A. Ellis,W. Clayton Lane,1,1,1
Hyman Rodman,,2,,0
Robert F. Winch,Samuel A. Mueller,2,1,1
Lois Godiksen,Robert F. Winch,1,2,1
Lois Godiksen,Samuel A. Mueller,1,1,1
Joel H. Levine,,1,,0
Gary T. Marx,,1,,0
Salomon Rettig,,2,,0
James G. Anderson,,1,,0
Donald G. McTavish,,1,,0
C. Norman Alexander Jr.,,2,,0
David L. Klemmack,Thomas A. Leggette,1,1,1
David L. Klemmack,Lawrence S. Mayer,1,3,1
Lawrence S. Mayer,Thomas A. Leggette,3,1,1
Walter R. Gove,,3,,0
Roland L. Warren,,1,,0
Ted G. Harvey,,1,,0
Richard H. Ogles,Siamak Movahedi,1,1,1
Philip M. Hauser,,1,,0
Dorrian Apple Sweetser,,1,,0
Jon P. Alston,Norval D. Glenn,1,3,1
Arnold R. Silverman,Stanley Lieberson,1,4,1
Robert K. Leik,,3,,0
Yeheskel Hasenfeld,,1,,0
Jerry Gaston,,1,,0
Austin T. Turk,,1,,0
Donald B. Rosenthal,Robert L. Crain,1,1,1
Donald W. Hastings,J. Gregory Robinson,1,1,1
David Gold,,1,,0
Eric O. Hoiberg,Jerry S. Cloyd,1,2,1
Andrew M. Greeley,,2,,0
Roland K. Hawkes,,1,,0
Peter M. Blau,,4,,0
Sandra J. Ball-Rokeach,,1,,0
David C. Epperson,,1,,0
Albert J. Reiss Jr.,Donald J. Black,2,2,1
Alice S. Rossi,,1,,0
Bill Tudor,,1,,0
Morris Freilich,,1,,0
Charles Kadushin,,2,,0
Charles Perrow,,1,,0
Gerald Gordon,Janice Beyer Lodahl,1,1,1
Charles C. Gordon,Hugh P. Whitt,1,1,1
Hugh P. Whitt,John R. Hofley,1,1,1
Charles C. Gordon,John R. Hofley,1,1,1
David F. Sly,Robert H. Weller,2,1,1
Frank W. Young,,1,,0
Jeffrey M. Paige,Karen E. Paige,2,1,1
Ruth Sinclair,S. S. Blume,1,1,1
Paul Ritterband,Richard Silberstein,1,1,1
John A. Ross,Perry Smith,1,1,1
Joseph Ben-David,Randall Collins,1,2,1
Terry N. Clark,,1,,0
Charles W. Mueller,Duane F. Alwin,2,2,2
James A. Davis,Paul Holland,2,1,1
James A. Davis,Samuel Leinhardt,2,2,1
Paul Holland,Samuel Leinhardt,1,2,1
H. W. Smith,,1,,0
Charles H. Proctor,,1,,0
Donald J. Treiman,Robert W. Hodge,2,2,2
Michael Grimes,Norval D. Glenn,1,3,1
Howard E. Aldrich,Richard A. Berk,1,2,1
Marion F. Steele,William J. Chambliss,1,2,1
Albert Pierce,,1,,0
Paul Hollander,,1,,0
Alejandro Portes,William H. Sewell,3,7,1
Alejandro Portes,Archibald O. Haller,3,4,1
Bert N. Adams,,1,,0
Claude S. Fischer,,1,,0
Marvin B. Scott,Stanford M. Lyman,1,1,1
Alan C. Acock,Melvin L. DeFleur,1,3,1
