source,target,scount,tcount,weight
Donald J. Bogue,James A. Palmore,5,5,1
Griffith M. Feeney,,1,,0
John B. Williamson,,1,,0
Donald J. O'Hara,,1,,0
C. Russell Hill,,1,,0
Etienne van de Walle,John Knodel,2,2,1
Donald S. Akers,Jacob S. Siegel,5,2,1
Walter Mertens,,1,,0
Avery M. Guest,,3,,0
James A. Palmore,Lee-Jay Cho,5,3,1
Lee-Jay Cho,Lyle Saunders,3,2,1
James A. Palmore,Lyle Saunders,5,2,1
T. Paul Schultz,,1,,0
George C. Myers,Jeffry R. Gibson,2,1,1
Jacob S. Siegel,,2,,0
Albert Hermalin,Reynolds Farley,1,5,1
Frederic C. Shorter,Nusret H. Fiσ̦ek,1,1,1
Leo A. Goodman,,2,,0
Anrudh K. Jain,,2,,0
N. B. Ryder,,1,,0
Amos H. Hawley,Visid Prachuabmoh,3,2,1
Alvan O. Zarate,,2,,0
John Holmes,Lawrence A. Brown,1,3,1
Gary D. London,,1,,0
James D. Tarver,William R. Gurley,4,2,2
Robert M. Jiobu,,1,,0
Harry Sharp,Leo F. Schnore,1,4,1
John B. Wyon,Stephen L. Finner,1,1,1
David M. Heer,John B. Wyon,5,1,1
John B. Wyon,Nadipuram R. Parthasarathy,1,1,1
John B. Wyon,John E. Gordon,1,1,1
David M. Heer,Stephen L. Finner,5,1,1
Nadipuram R. Parthasarathy,Stephen L. Finner,1,1,1
John E. Gordon,Stephen L. Finner,1,1,1
David M. Heer,Nadipuram R. Parthasarathy,5,1,1
David M. Heer,John E. Gordon,5,1,1
John E. Gordon,Nadipuram R. Parthasarathy,1,1,1
Allan G. Feldt,Robert H. Weller,1,5,1
George F. Brown,,2,,0
A. Romaniuk,,2,,0
Ariffin bin Marzuki,James A. Palmore,2,5,2
Reuben Hill,,1,,0
David Alvirez,,1,,0
Herman P. Miller,,1,,0
Charles B. Nam,Susan O. Gustavus,4,2,2
Alice M. Rivlin,John Beresford,2,1,1
Henry D. Sheldon,Siegfried A. Hoermann,1,1,1
S. L. N. Rao,,1,,0
James D. Tarver,R. Douglas McLeod,4,1,1
Harley L. Browning,Jack P. Gibbs,2,1,1
Josέ L. Vazquez,,1,,0
Donald W. Helbig,Habib R. Siddiqui,1,1,1
Donald W. Helbig,Samuel B. Hopkins,1,1,1
Donald W. Helbig,Paul A. Harper,1,1,1
