source,target,scount,tcount,weight
Howard Wimberley,,1,,0
J. Zvi Namenwirth,,1,,0
John D. Kasarda,,1,,0
Joseph F. Zygmunt,,1,,0
Lynne Roberts,Murray Webster Jr.,1,1,1
Barbara I. Sobieszek,Murray Webster Jr.,1,1,1
Barbara I. Sobieszek,Lynne Roberts,1,1,1
Derek L. Phillips,,2,,0
Anthony M. Orum,,1,,0
Arlie Russell Hochschild,,1,,0
Frances E. Cheek,Maureen Rosenhaupt,1,1,1
F. Lancaster Jones,,2,,0
Denise B. Kandel,,1,,0
Kenneth Kessin,,1,,0
Charles C. Moskos Jr.,,1,,0
A. Gordon Darroch,Wilfred G. Marston,1,1,1
Ying-Cheng Kiang,,1,,0
A. A. Hunter,,1,,0
E. Digby Baltzell,,1,,0
Glenn A. Goodwin,,1,,0
Alan E. Bayer,,2,,0
Herbert L. Costner,,3,,0
Joshua A. Fishman,,1,,0
James Fennessey,,1,,0
Donald P. Hayes,,1,,0
Don Merten,Gary Schwartz,1,1,1
Joseph A. Kahl,,1,,0
Philip Foster,Remi P. Clignet,1,1,1
Grant M. Farr,Lowell L. Hargens,1,1,1
Arthur G. Neal,H. Theodore Groat,1,2,1
Judah Matras,,2,,0
Serge Carlos,,1,,0
William Michelson,,1,,0
Leonard I. Pearlin,Marian Radke Yarrow,1,1,1
Harry A. Scarr,Leonard I. Pearlin,1,1,1
Harry A. Scarr,Marian Radke Yarrow,1,1,1
Don C. Gibbons,,1,,0
Karl O'Lessker,,1,,0
Lewis A. Coser,,1,,0
Gary F. Jensen,,1,,0
Herman R. Lantz,Raymond L. Schmitt,1,1,1
Herman R. Lantz,Richard Herman,1,1,1
Raymond L. Schmitt,Richard Herman,1,1,1
Anselm L. Strauss,Barney G. Glaser,1,1,1
Alma F. Taeuber,Glen G. Cain,3,1,1
Glen G. Cain,Karl E. Taeuber,1,3,1
Phillips Cutright,,2,,0
Gudmund Hernes,,1,,0
Grant W. Childers,Louis N. Gray,2,1,1
Bruce H. Mayhew Jr.,Louis N. Gray,2,1,1
Edna E. Raphael,,2,,0
Donald A. Clelland,William H. Form,2,2,1
Lee J. Haggerty,,1,,0
George Simpson,,1,,0
Maurice Zeitlin,,2,,0
Ruth Shonle Cavan,,1,,0
Fred H. Goldner,R. R. Ritti,1,1,1
C. J. Lammers,,1,,0
Charles V. Willie,Norman L. Weiner,1,1,1
J. Mayone Stycos,,1,,0
Allan F. Corenblum,V. V. Murray,1,1,1
Bernard B. Berk,,1,,0
James M. Henslin,,1,,0
Charles W. Estus,Michael A. Overington,1,1,1
Karen Kay Petersen,,1,,0
Nathan Joseph,Nicholas Alex,1,1,1
Jeannette F. Tudor,Walter R. Gove,1,4,1
Stephen D. Webb,,1,,0
C. Norman Alexander,Ernest Q. Campbell,1,1,1
Benton Johnson,,1,,0
Bertell Ollman,,1,,0
James C. Miller,Richard D. Schwartz,1,1,1
Kenneth Westhues,,1,,0
Lolagene C. Coombs,Ronald Freedman,1,2,1
Judith Friedman,Lolagene C. Coombs,1,1,1
Lolagene C. Coombs,William F. Pratt,1,1,1
Judith Friedman,Ronald Freedman,1,2,1
Ronald Freedman,William F. Pratt,2,1,1
Judith Friedman,William F. Pratt,1,1,1
David Horton Smith,,1,,0
Tamar Becker,,1,,0
Daniel N. Gordon,,1,,0
Alexander L. Clark,Paul Wallin,1,1,1
Maurice A. Garnier,,1,,0
Herbert L. Costner,Hubert M. Blalock Jr.,3,2,1
Archibald O. Haller,Donald B. Holsinger,3,1,1
Archibald O. Haller,Helcio Ulhoa Saraiva,3,1,1
Donald B. Holsinger,Helcio Ulhoa Saraiva,1,1,1
Orrin E. Klapp,,1,,0
Sidney Goldstein,,1,,0
M. Kent Jennings,Richard G. Niemi,1,1,1
Barry Gruenberg,Howard Schuman,1,3,1
Cynthia F. Epstein,,1,,0
Paul M. Siegel,Robert W. Hodge,1,4,1
Peter H. Rossi,Robert W. Hodge,1,4,1
Paul M. Siegel,Peter H. Rossi,1,1,1
Donald Rubin,Robert P. Althauser,1,1,1
Rosalio Wences,,1,,0
Janet Abu-Lughod,,1,,0
Albert J. Reiss Jr.,Albert Lewis Rhodes,2,1,1
Albert Lewis Rhodes,Otis Dudley Duncan,1,3,1
Albert J. Reiss Jr.,Otis Dudley Duncan,2,3,1
J. Richard Udry,,3,,0
Robert Sommer,,1,,0
Howard S. Becker,Irving Louis Horowitz,1,1,1
Allan Schnaiberg,,1,,0
Sidney J. Miller,W. Keith Warner,1,1,1
Robert M. O'Shea,Vito Signorile,1,1,1
C. Milton Coughenour,,1,,0
Henry Wechsler,Thomas F. Pugh,1,1,1
Charles W. Hobart,Nancy Fahlberg,1,1,1
Lee Sigelman,,1,,0
Bruce K. Eckland,,1,,0
James T. Richardson,Roy T. Bowles,1,1,1
James S. Coleman,,1,,0
Glen H. Elder Jr.,,1,,0
Tom Bottomore,,1,,0
Eugene V. Schneider,Sherman Krupp,1,1,1
Harvey A. Kantor,,1,,0
Joseph P. Fitzpatrick,,1,,0
Morris Janowitz,,2,,0
Clark E. Vincent,,1,,0
David F. Sly,,1,,0
Bradley R. Schiller,,1,,0
H. Theodore Groat,,2,,0
Hiroshi Mannari,Robert M. Marsh,1,1,1
Calvin Goldscheider,Peter R. Uhlenberg,1,1,1
James T. Carey,,1,,0
S. M. Miller,,1,,0
Bernard J. Siegel,,1,,0
Anne-Marie Henshel,,1,,0
Nancy Goldman,,1,,0
Julius A. Roth,,1,,0
Arthur L. Stinchcombe,Mary Sexton McDill,1,1,1
Arthur L. Stinchcombe,Dollie R. Walker,1,1,1
Dollie R. Walker,Mary Sexton McDill,1,1,1
Albert Hunter,,1,,0
Herbert L. Costner,L. Wesley Wager,3,1,1
Bernard E. Segal,Peter K. Thomsen,2,1,1
Marie R. Haug,,1,,0
Martin Whiteman,Richard Bloom,1,1,1
Martin Deutsch,Richard Bloom,1,1,1
Martin Deutsch,Martin Whiteman,1,1,1
Aida K. Tomeh,,1,,0
Diana Crane,,1,,0
Paul Lerman,,1,,0
Bernhardt Lieberman,,1,,0
Herman P. Miller,Larry E. Suter,1,1,1
Bernard E. Segal,,2,,0
Albert Szymanski,,1,,0
E. L. Quarantelli,Jack M. Weller,1,1,1
Frank Baker,Louis C. Goldberg,1,1,1
Albert H. Rubenstein,Louis C. Goldberg,1,1,1
Albert H. Rubenstein,Frank Baker,1,1,1
Weldon T. Johnson,,1,,0
John D. Photiadis,,1,,0
Nathan Kantrowitz,,1,,0
Emile Durkheim,Joan Aldous,1,1,1
Ferdinand Tonnies,Joan Aldous,1,1,1
Emile Durkheim,Ferdinand Tonnies,1,1,1
Paul W. Holland,Samuel Leinhardt,1,1,1
Paul Burstein,,1,,0
Charles M. Bonjean,,1,,0
Helena Znaniecki Lopata,,2,,0
James D. Miley,Michael Micklin,1,1,1
Walter L. Wallace,,1,,0
Eugene Litwak,Josefina Figueira,1,1,1
Eugene S. Uyeki,,1,,0
Jae-On Kim,,1,,0
Robert L. Crain,,1,,0
Yochanan Peres,,1,,0
Howard F. Taylor,,1,,0
Ozzie Edwards,,1,,0
Paul J. Baker,,1,,0
Eugene A. Weinstein,James R. Wood,2,1,1
Glenn V. Fuguitt,Stanley Lieberson,1,4,1
Gerry Hendershot,Kenneth W. Eckhardt,1,1,1
Abdul Qaiyum Lodhi,Charles Tilly,1,1,1
Edward A. Suchman,,1,,0
Gerda Lorenz,,1,,0
Stephen Cole,,2,,0
Robert D. Rossel,,1,,0
Robert C. Day,Robert L. Hamblin,1,1,1
Robert A. Wilson,,1,,0
Beverly Duncan,,1,,0
Theodore N. Ferdinand,,1,,0
Cynthia Fuchs Epstein,,1,,0
Kevin Marjoribanks,,1,,0
Stanley L. M. Fong,,1,,0
Lawrence E. Hazelrigg,,1,,0
William A. Gamson,,1,,0
John Scanzoni,,1,,0
Herman Israel,,1,,0
Donald A. Clelland,William A. Faunce,2,1,1
W. Scott Ford,,1,,0
Leo Rigsby,William L. Yancey,1,2,1
John D. McCarthy,William L. Yancey,2,2,2
John D. McCarthy,Leo Rigsby,2,1,1
Bonnie Bullough,Vern Bullough,2,1,1
Jorge A. Bustamante,,1,,0
Avery M. Guest,,2,,0
Raymond Breton,,1,,0
Ira W. Hutchison,William T. Liu,1,1,1
Lawrence K. Hong,William T. Liu,1,1,1
Ira W. Hutchison,Lawrence K. Hong,1,1,1
Donald J. Treiman,,2,,0
Robert K. Leik,Walter R. Gove,1,4,1
Paul M. Hirsch,,1,,0
Mirra Komarovsky,,1,,0
Robert Bierstedt,,1,,0
Alvin Gouldner,,1,,0
David O. Sears,Paula B. Johnson,1,1,1
John B. McConahay,Paula B. Johnson,1,1,1
David O. Sears,John B. McConahay,1,1,1
Alphonso Pinkney,Donald L. Noel,1,1,1
Edwin M. Schur,,1,,0
Fern V. Piret,Fred E. Katz,1,1,1
Roland Wulbert,,1,,0
Olaf F. Larson,Ruth C. Young,1,2,1
Charles E. Werts,Karl G. Joreskog,2,1,1
Charles E. Werts,Robert L. Linn,2,1,1
Karl G. Joreskog,Robert L. Linn,1,1,1
Viktor Gecas,,1,,0
Rose Laub Coser,,1,,0
Phillip E. Hammond,,2,,0
Galen L. Gockel,,1,,0
Pitirim A. Sorokin,,1,,0
James A. Davis,,1,,0
Elizabeth M. Havens,,1,,0
J. T. Borhek,,1,,0
Jerald Hage,Michael Aiken,1,1,1
J. Richard Udry,Karl E. Bauman,3,1,1
Charles Chase,J. Richard Udry,1,3,1
Charles Chase,Karl E. Bauman,1,1,1
Gerald D. Bell,,1,,0
J. Diedrick Snoek,,1,,0
Stanley S. Guterman,,1,,0
David R. Segal,Morris Janowitz,2,2,1
Henri Theil,,1,,0
Helmut R. Wagner,,1,,0
Edward J. Kaiser,Ronald J. McAllister,1,1,1
Edgar W. Butler,Ronald J. McAllister,1,1,1
Edgar W. Butler,Edward J. Kaiser,1,1,1
Charles E. Werts,,2,,0
E. O. Schild,R. Bar-Yosef,1,1,1
E. Wilbur Bock,,1,,0
Alex Inkeles,,1,,0
John B. Stephenson,,1,,0
Byron G. Spencer,Christopher Beattie,1,1,1
Brenda Danet,Michael Gurevitch,1,1,1
Howard Elinson,,1,,0
Charles R. Tittle,Richard H. Hall,1,1,1
John K. Rhoads,,1,,0
Joseph R. Gusfield,,1,,0
Brett W. Hawkins,,1,,0
Howard E. Aldrich,,1,,0
David T. Burhans Jr.,,1,,0
Joseph Harry,,1,,0
Dennis H. Wrong,,1,,0
Harold Mark,Kent P. Schwirian,1,1,1
Pavel Machonin,,1,,0
Eugene A. Weinstein,Philip W. Blumstein,2,1,1
David D. McFarland,,1,,0
Reynolds Farley,,1,,0
F. Lancaster Jones,Leonard Broom,2,1,1
